trial_id,title,intervention_name,condition,phase,status,source_database
NCT05030467,Leveraging Electronic Health Record (EHR) Tools to Reduce Health Disparities for Patients With Uncontrolled Hypertension,REDUCE-BP Intervention,Hypertension; Blood Pressure,NA,COMPLETED,ClinicalTrials.gov
NCT06200467,A Study to Test Whether Multiple Doses of BI 456906 Have an Effect on Cardiac Safety in People With Overweight or Obesity,BI 456906; Placebo to BI 456906; Moxifloxacin; Placebo to moxifloxacin,Overweight; Obesity,PHASE1,COMPLETED,ClinicalTrials.gov
NCT03002467,Impact Analysis of Prognostic Stratification for Pulmonary Embolism,PESI score,Pulmonary Embolism,NA,TERMINATED,ClinicalTrials.gov
NCT00572767,Evaluation of the Effect of Dextro-Amphetamin Added to Physiotherapy in Patients After Stroke,Dextro-Amphetamin; Glucose,Stroke,PHASE4,TERMINATED,ClinicalTrials.gov
NCT06357000,Time From PCI to Cancer Surgery and Cardiovascular and Oncologic Outcomes,Not specified,Coronary Artery Disease; Cancer,Not specified,COMPLETED,ClinicalTrials.gov
NCT06663800,Additional Effects of Ujjayi Pranayama,Ujjayi Paranayama; Standard Protocol,Pulmonary Function; Coronary Artery Disease,NA,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT05423119,Clinical Predictors of Rehabilitation-induced Arm Recovery After Stroke: Longitudinal Cohort Study,conventional therapy,Stroke,Not specified,UNKNOWN,ClinicalTrials.gov
NCT03269630,New Orleans Pulmonary Hypertension Biobank,No intervention. Biospecimen collection only,Pulmonary Hypertension; Systemic Sclerosis; Mixed Connective Tissue Disease; Heart Failure With Normal Ejection Fraction; Healthy,Not specified,RECRUITING,ClinicalTrials.gov
NCT00156728,Study to Characterize Atrial Fibrillation in CHF Patients Indicated for CRT,Vitatron biventricular pacemaker,"Congestive Heart Failure, Atrial Fibrillation",PHASE4,COMPLETED,ClinicalTrials.gov
NCT02722265,Long-term Study of CS-3150 as Monotherapy or in Combination With Other Antihypertensive Drug in Japanese Patients With Essential Hypertension,CS-3150,Essential Hypertension,PHASE3,COMPLETED,ClinicalTrials.gov
NCT03777267,Cereset Research Exploratory Study,Active CR,Neurological Diseases or Conditions; Cardiovascular Conditions After Birth; Psychophysiologic Disorders,NA,RECRUITING,ClinicalTrials.gov
NCT06178900,Evaluating AI-Gatekeeper Software in Coronary Artery Stenosis Screening: a Multicenter RCT,Assisted by the AI-Gatekeeper software group,Coronary Artery Disease; Diagnosis,NA,COMPLETED,ClinicalTrials.gov
NCT00067665,Hypertension in Hemodialysis,Ultrafiltration,Hypertension; Left Ventricular Hypertrophy,NA,COMPLETED,ClinicalTrials.gov
NCT05078619,Percutaneous Coronary Intervention Before Transcatheter Aortic Valve Implantation,No PCI,Valvular Heart Disease; Aortic Valve Stenosis; Coronary Artery Disease,NA,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT04149730,Adrenaline During Resuscitation From Pulseless Electrical Activity,Not specified,Heart Arrest,Not specified,COMPLETED,ClinicalTrials.gov
NCT04927949,Evaluation of Myocardial Reperfusion After Primary PCI in Patients With High Platelet Reactivity Treated by Cangrelor or Not,cangrelor perfusion during PCI; standard PCI,ST-elevation Myocardial Infarction,PHASE4,COMPLETED,ClinicalTrials.gov
NCT01852149,Mitralign Percutaneous Annuloplasty First in Man Study,MPAS Implant,Functional Mitral Regurgitation,NA,COMPLETED,ClinicalTrials.gov
NCT05342038,Study on the Efficacy and Safety of T-02 for the Treatment for Acute Ischemic Stroke,T-02,Acute Ischemic Stroke; Large Vessel Occlusion; Vascular Occlusion; Thrombosis; Endovascular,NA,WITHDRAWN,ClinicalTrials.gov
