label_id,name,drug,gene,source,biomarker_status,testing,alternate_drug_available,source_database
PA166104886,Annotation of FDA Label for dextromethorphan / quinidine and CYP2D6,dextromethorphan / quinidine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672077, 'description': 'The label states or implies that some sort of gene, protein or chromosomal testing, including genetic testing, functional protein assays, cytogenetic studies, etc., is recommended before using this drug. This recommendation may only be for a particular subset of patients. PharmGKB considers labels that say testing ""should be considered"" to be recommending testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Testing Recommended', 'termId': 'geneTestLevel:1183672077', 'valid': True, 'version': 3}",False,ClinPGx
PA166104887,Annotation of FDA Label for iloperidone and CYP2D6,iloperidone,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166104888,Annotation of FDA Label for nortriptyline and CYP2D6,nortriptyline,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166104893,Annotation of FDA Label for perphenazine and CYP2D6,perphenazine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166104899,Annotation of EMA Label for aripiprazole and CYP2D6,aripiprazole,CYP2D6,EMA,,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166104915,"Annotation of EMA Label for olanzapine and CYP1A2, CYP2D6",olanzapine,CYP1A2; CYP2D6,EMA,,,False,ClinPGx
PA166104916,Annotation of FDA Label for codeine and CYP2D6,codeine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",True,ClinPGx
PA166170052,Annotation of FDA Label for valbenazine and CYP2D6,valbenazine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166170929,Annotation of FDA Label for gefitinib and CYP2D6,gefitinib,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166170935,"Annotation of FDA Label for rucaparib and CYP1A2, CYP2D6",rucaparib,CYP1A2; CYP2D6,FDA,On FDA Biomarker List,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166177479,Annotation of FDA Label for cariprazine and CYP2D6,cariprazine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166177483,Annotation of FDA Label for desvenlafaxine and CYP2D6,desvenlafaxine,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166177514,Annotation of FDA Label for mirabegron and CYP2D6,mirabegron,CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
