source_id	target_id
MESH:C537047	DOID:0050631
D016115	DOID:0050632
MESH:D016115	DOID:0050632
D016117	DOID:0050633
MESH:D016117	DOID:0050633
C537055	DOID:0050634
MESH:C537055	DOID:0050634
C536589	DOID:0050635
MESH:C536589	DOID:0050635
C562717	DOID:0050641
MESH:C562717	DOID:0050641
C537440	DOID:0050644
MESH:C537440	DOID:0050644
C565942	DOID:0050645
MESH:C565942	DOID:0050645
C535388	DOID:0050647
MESH:C535388	DOID:0050647
D004694	DOID:0050651
MESH:D004694	DOID:0050651
C536788	DOID:0050654
MESH:C536788	DOID:0050654
D006223	DOID:0050657
MESH:D006223	DOID:0050657
D016715	DOID:0050657
MESH:D016715	DOID:0050657
C537658	DOID:0050659
MESH:C537658	DOID:0050659
D057826	DOID:0050661
MESH:D057826	DOID:0050661
C567518	DOID:0050662
MESH:C567518	DOID:0050662
C535436	DOID:0050663
MESH:C535436	DOID:0050663
C567357	DOID:0050675
MESH:C567357	DOID:0050675
D058249	DOID:0050676
MESH:D058249	DOID:0050676
C537633	DOID:0050677
MESH:C537633	DOID:0050677
C538157	DOID:0050678
MESH:C538157	DOID:0050678
C536573	DOID:0050680
MESH:C536573	DOID:0050680
C536575	DOID:0050681
MESH:C536575	DOID:0050681
C564392	DOID:0050683
MESH:C564392	DOID:0050683
C537081	DOID:0050684
MESH:C537081	DOID:0050684
D009371	DOID:0050686
MESH:D009371	DOID:0050686
C565193	DOID:0050689
MESH:C565193	DOID:0050689
C537098	DOID:0050690
MESH:C537098	DOID:0050690
C536607	DOID:0050692
MESH:C536607	DOID:0050692
C537111	DOID:0050694
MESH:C537111	DOID:0050694
D002821	DOID:0050697
MESH:D002821	DOID:0050697
D057973	DOID:0050699
MESH:D057973	DOID:0050699
D009202	DOID:0050700
MESH:D009202	DOID:0050700
C566618	DOID:0050722
MESH:C566618	DOID:0050722
D014806	DOID:0050731
MESH:D014806	DOID:0050731
C536259	DOID:0050740
MESH:C536259	DOID:0050740
D014029	DOID:0050742
MESH:D014029	DOID:0050742
D016403	DOID:0050745
MESH:D016403	DOID:0050745
D020522	DOID:0050746
MESH:D020522	DOID:0050746
D018442	DOID:0050748
MESH:D018442	DOID:0050748
D002524	DOID:0050753
MESH:D002524	DOID:0050753
C535808	DOID:0050757
MESH:C535808	DOID:0050757
D020967	DOID:0050759
MESH:D020967	DOID:0050759
D054546	DOID:0050765
MESH:D054546	DOID:0050765
D054546	DOID:0050766
MESH:D054546	DOID:0050766
C536108	DOID:0050769
MESH:C536108	DOID:0050769
C536330	DOID:0050770
MESH:C536330	DOID:0050770
D010673	DOID:0050771
MESH:D010673	DOID:0050771
D010235	DOID:0050773
MESH:D010235	DOID:0050773
C535288	DOID:0050774
MESH:C535288	DOID:0050774
C536637	DOID:0050775
MESH:C536637	DOID:0050775
C536079	DOID:0050779
MESH:C536079	DOID:0050779
D015043	DOID:0050782
MESH:D015043	DOID:0050782
D020528	DOID:0050783
MESH:D020528	DOID:0050783
D020528	DOID:0050784
MESH:D020528	DOID:0050784
D020528	DOID:0050785
MESH:D020528	DOID:0050785
C537702	DOID:0050787
MESH:C537702	DOID:0050787
C537931	DOID:0050790
MESH:C537931	DOID:0050790
C536665	DOID:0050791
MESH:C536665	DOID:0050791
C563977	DOID:0050792
MESH:C563977	DOID:0050792
D000077765	DOID:0050795
MESH:D000077765	DOID:0050795
C536010	DOID:0050796
MESH:C536010	DOID:0050796
C536662	DOID:0050797
MESH:C536662	DOID:0050797
C537622	DOID:0050799
MESH:C537622	DOID:0050799
C567196	DOID:0050807
MESH:C567196	DOID:0050807
C531633	DOID:0050810
MESH:C531633	DOID:0050810
C567551	DOID:0050812
MESH:C567551	DOID:0050812
C536958	DOID:0050814
MESH:C536958	DOID:0050814
C536480	DOID:0050816
MESH:C536480	DOID:0050816
D000080362	DOID:0050817
MESH:D000080362	DOID:0050817
D054537	DOID:0050820
MESH:D054537	DOID:0050820
D012214	DOID:0050827
MESH:D012214	DOID:0050827
D058729	DOID:0050830
MESH:D058729	DOID:0050830
C536841	DOID:0050831
MESH:C536841	DOID:0050831
D058747	DOID:0050834
MESH:D058747	DOID:0050834
D004422	DOID:0050835
MESH:D004422	DOID:0050835
D020821	DOID:0050835
MESH:D020821	DOID:0050835
D012891	DOID:0050847
MESH:D012891	DOID:0050847
D020181	DOID:0050848
MESH:D020181	DOID:0050848
D056587	DOID:0050854
MESH:D056587	DOID:0050854
C536026	DOID:0050858
MESH:C536026	DOID:0050858
D005350	DOID:0050871
MESH:D005350	DOID:0050871
D008224	DOID:0050873
MESH:D008224	DOID:0050873
D016767	DOID:0050876
MESH:D016767	DOID:0050876
C563476	DOID:0050881
MESH:C563476	DOID:0050881
C566029	DOID:0050884
MESH:C566029	DOID:0050884
C536974	DOID:0050887
MESH:C536974	DOID:0050887
D000564	DOID:0050894
MESH:D000564	DOID:0050894
D008527	DOID:0050902
MESH:D008527	DOID:0050902
D018242	DOID:0050902
MESH:D018242	DOID:0050902
D009190	DOID:0050908
MESH:D009190	DOID:0050908
C536787	DOID:0050946
MESH:C536787	DOID:0050946
C564815	DOID:0050952
MESH:C564815	DOID:0050952
D020754	DOID:0050957
MESH:D020754	DOID:0050957
C537202	DOID:0050974
MESH:C537202	DOID:0050974
C537203	DOID:0050975
MESH:C537203	DOID:0050975
C535506	DOID:0050990
MESH:C535506	DOID:0050990
D001017	DOID:0051054
MESH:D001017	DOID:0051054
C563003	DOID:0051060
MESH:C563003	DOID:0051060
D053632	DOID:0060013
MESH:D053632	DOID:0060013
C538361	DOID:0060020
MESH:C538361	DOID:0060020
D053306	DOID:0060023
MESH:D053306	DOID:0060023
D017098	DOID:0060025
MESH:D017098	DOID:0060025
D000067877	DOID:0060041
MESH:D000067877	DOID:0060041
D001037	DOID:0060046
MESH:D001037	DOID:0060046
D008223	DOID:0060058
MESH:D008223	DOID:0060058
D008228	DOID:0060060
MESH:D008228	DOID:0060060
D016410	DOID:0060061
MESH:D016410	DOID:0060061
D059905	DOID:0060068
MESH:D059905	DOID:0060068
D018215	DOID:0060098
MESH:D018215	DOID:0060098
D010610	DOID:0060119
MESH:D010610	DOID:0060119
D012983	DOID:0060123
MESH:D012983	DOID:0060123
D006362	DOID:0060125
MESH:D006362	DOID:0060125
D001072	DOID:0060135
MESH:D001072	DOID:0060135
C531604	DOID:0060155
MESH:C531604	DOID:0060155
D014897	DOID:0060160
MESH:D014897	DOID:0060160
D055534	DOID:0060161
MESH:D055534	DOID:0060161
