source_id	target_id
UMLS:C1721096	DOID:0050451
C0342731	DOID:0050452
UMLS:C0342731	DOID:0050452
C0398691	DOID:0050452
UMLS:C0398691	DOID:0050452
C1959626	DOID:0050452
UMLS:C1959626	DOID:0050452
C0266463	DOID:0050453
UMLS:C0266463	DOID:0050453
C0266483	DOID:0050453
UMLS:C0266483	DOID:0050453
C1848213	DOID:0050454
UMLS:C1848213	DOID:0050454
C1868720	DOID:0050454
UMLS:C1868720	DOID:0050454
C0085568	DOID:0050456
UMLS:C0085568	DOID:0050456
C1384583	DOID:0050457
UMLS:C1384583	DOID:0050457
C0349639	DOID:0050458
UMLS:C0349639	DOID:0050458
C0085681	DOID:0050459
UMLS:C0085681	DOID:0050459
C0796117	DOID:0050460
UMLS:C0796117	DOID:0050460
C1956097	DOID:0050460
UMLS:C1956097	DOID:0050460
C0268225	DOID:0050461
UMLS:C0268225	DOID:0050461
C1861922	DOID:0050463
UMLS:C1861922	DOID:0050463
C1861923	DOID:0050463
UMLS:C1861923	DOID:0050463
C0268255	DOID:0050464
UMLS:C0268255	DOID:0050464
C1321489	DOID:0050465
UMLS:C1321489	DOID:0050465
C1836635	DOID:0050466
UMLS:C1836635	DOID:0050466
C2697932	DOID:0050466
UMLS:C2697932	DOID:0050466
C0265961	DOID:0050467
UMLS:C0265961	DOID:0050467
C1851480	DOID:0050467
UMLS:C1851480	DOID:0050467
C0221348	DOID:0050468
UMLS:C0221348	DOID:0050468
C0587248	DOID:0050469
UMLS:C0587248	DOID:0050469
C0265344	DOID:0050470
UMLS:C0265344	DOID:0050470
C0271695	DOID:0050470
UMLS:C0271695	DOID:0050470
C0406810	DOID:0050471
UMLS:C0406810	DOID:0050471
C1854540	DOID:0050471
UMLS:C1854540	DOID:0050471
C2607929	DOID:0050471
UMLS:C2607929	DOID:0050471
C0546966	DOID:0050472
UMLS:C0546966	DOID:0050472
C0268425	DOID:0050473
UMLS:C0268425	DOID:0050473
C0265962	DOID:0050474
UMLS:C0265962	DOID:0050474
C0265313	DOID:0050475
UMLS:C0265313	DOID:0050475
C1869114	DOID:0050475
UMLS:C1869114	DOID:0050475
C1869115	DOID:0050475
UMLS:C1869115	DOID:0050475
C0574083	DOID:0050476
UMLS:C0574083	DOID:0050476
C0221043	DOID:0050477
UMLS:C0221043	DOID:0050477
C0015230	DOID:0050486
UMLS:C0015230	DOID:0050486
C0015231	DOID:0050495
UMLS:C0015231	DOID:0050495
C1812609	DOID:0050508
UMLS:C1812609	DOID:0050508
C0276286	DOID:0050516
UMLS:C0276286	DOID:0050516
C0276386	DOID:0050521
UMLS:C0276386	DOID:0050521
C0023493	DOID:0050523
UMLS:C0023493	DOID:0050523
C0342276	DOID:0050524
UMLS:C0342276	DOID:0050524
C1838230	DOID:0050529
UMLS:C1838230	DOID:0050529
C0393538	DOID:0050530
UMLS:C0393538	DOID:0050530
C1306122	DOID:0050534
UMLS:C1306122	DOID:0050534
C0004608	DOID:0050535
UMLS:C0004608	DOID:0050535
C0392553	DOID:0050539
UMLS:C0392553	DOID:0050539
C0027889	DOID:0050548
UMLS:C0027889	DOID:0050548
C2937300	DOID:0050557
UMLS:C2937300	DOID:0050557
C1313885	DOID:0050580
UMLS:C1313885	DOID:0050580
C0021390	DOID:0050589
UMLS:C0021390	DOID:0050589
C0399352	DOID:0050591
UMLS:C0399352	DOID:0050591
C0152073	DOID:0050596
UMLS:C0152073	DOID:0050596
C0036329	DOID:0050597
UMLS:C0036329	DOID:0050597
C0036330	DOID:0050597
UMLS:C0036330	DOID:0050597
C0276932	DOID:0050597
UMLS:C0276932	DOID:0050597
C0854995	DOID:0050619
UMLS:C0854995	DOID:0050619
C1335336	DOID:0050619
UMLS:C1335336	DOID:0050619
C1335337	DOID:0050619
UMLS:C1335337	DOID:0050619
C1335340	DOID:0050619
UMLS:C1335340	DOID:0050619
C0345913	DOID:0050625
UMLS:C0345913	DOID:0050625
C0796028	DOID:0050647
UMLS:C0796028	DOID:0050647
C0014116	DOID:0050651
UMLS:C0014116	DOID:0050651
C0265308	DOID:0050654
UMLS:C0265308	DOID:0050654
C0391826	DOID:0050657
UMLS:C0391826	DOID:0050657
C1866398	DOID:0050657
UMLS:C1866398	DOID:0050657
C1959582	DOID:0050657
UMLS:C1959582	DOID:0050657
C4706610	DOID:0050657
UMLS:C4706610	DOID:0050657
C1834674	DOID:0050663
UMLS:C1834674	DOID:0050663
C0266006	DOID:0050677
UMLS:C0266006	DOID:0050677
C0265339	DOID:0050681
UMLS:C0265339	DOID:0050681
C1859405	DOID:0050684
UMLS:C1859405	DOID:0050684
C0334239	DOID:0050685
UMLS:C0334239	DOID:0050685
C1857941	DOID:0050693
UMLS:C1857941	DOID:0050693
C0878681	DOID:0050699
UMLS:C0878681	DOID:0050699
C0033141	DOID:0050700
UMLS:C0033141	DOID:0050700
C0036529	DOID:0050700
UMLS:C0036529	DOID:0050700
C0878544	DOID:0050700
UMLS:C0878544	DOID:0050700
C4273730	DOID:0050713
UMLS:C4273730	DOID:0050713
C0028043	DOID:0050742
UMLS:C0028043	DOID:0050742
C0553604	DOID:0050759
UMLS:C0553604	DOID:0050759
C0393576	DOID:0050766
UMLS:C0393576	DOID:0050766
C0030421	DOID:0050773
UMLS:C0030421	DOID:0050773
C1849453	DOID:0050774
UMLS:C1849453	DOID:0050774
C0265215	DOID:0050778
UMLS:C0265215	DOID:0050778
C0043515	DOID:0050782
UMLS:C0043515	DOID:0050782
C0751965	DOID:0050783
UMLS:C0751965	DOID:0050783
C0751964	DOID:0050784
UMLS:C0751964	DOID:0050784
C0393666	DOID:0050785
UMLS:C0393666	DOID:0050785
C1849930	DOID:0050791
UMLS:C1849930	DOID:0050791
C1838437	DOID:0050792
UMLS:C1838437	DOID:0050792
C1860212	DOID:0050796
UMLS:C1860212	DOID:0050796
C1849678	DOID:0050797
UMLS:C1849678	DOID:0050797
C3809210	DOID:0050802
UMLS:C3809210	DOID:0050802
C0701163	DOID:0050811
UMLS:C0701163	DOID:0050811
C1854466	DOID:0050814
UMLS:C1854466	DOID:0050814
C0004245	DOID:0050820
UMLS:C0004245	DOID:0050820
C0264776	DOID:0050826
UMLS:C0264776	DOID:0050826
C0265354	DOID:0050834
UMLS:C0265354	DOID:0050834
C2936502	DOID:0050834
UMLS:C2936502	DOID:0050834
C0013423	DOID:0050835
UMLS:C0013423	DOID:0050835
C0154674	DOID:0050835
UMLS:C0154674	DOID:0050835
C0154675	DOID:0050835
UMLS:C0154675	DOID:0050835
C0393598	DOID:0050835
UMLS:C0393598	DOID:0050835
C0393601	DOID:0050835
UMLS:C0393601	DOID:0050835
C0752207	DOID:0050835
UMLS:C0752207	DOID:0050835
C0154676	DOID:0050841
UMLS:C0154676	DOID:0050841
C0037315	DOID:0050847
UMLS:C0037315	DOID:0050847
C0520679	DOID:0050848
UMLS:C0520679	DOID:0050848
C0268390	DOID:0050854
UMLS:C0268390	DOID:0050854
C1319315	DOID:0050861
UMLS:C1319315	DOID:0050861
C0349566	DOID:0050865
UMLS:C0349566	DOID:0050865
C0162510	DOID:0050876
UMLS:C0162510	DOID:0050876
C0025149	DOID:0050902
UMLS:C0025149	DOID:0050902
C0206663	DOID:0050902
UMLS:C0206663	DOID:0050902
C1334410	DOID:0050902
UMLS:C1334410	DOID:0050902
C2713368	DOID:0050908
UMLS:C2713368	DOID:0050908
C5985049	DOID:0050935
UMLS:C5985049	DOID:0050935
C0752122	DOID:0050957
UMLS:C0752122	DOID:0050957
C0394006	DOID:0050997
UMLS:C0394006	DOID:0050997
C0853695	DOID:0051077
UMLS:C0853695	DOID:0051077
C1279481	DOID:0060013
UMLS:C1279481	DOID:0060013
C0272167	DOID:0060020
UMLS:C0272167	DOID:0060020
C1720957	DOID:0060023
UMLS:C1720957	DOID:0060023
C0162538	DOID:0060025
UMLS:C0162538	DOID:0060025
C0154451	DOID:0060040
UMLS:C0154451	DOID:0060040
C0265259	DOID:0060055
UMLS:C0265259	DOID:0060055
C0024299	DOID:0060058
UMLS:C0024299	DOID:0060058
C0598798	DOID:0060058
UMLS:C0598798	DOID:0060058
C0024305	DOID:0060060
UMLS:C0024305	DOID:0060060
C0031347	DOID:0060119
UMLS:C0031347	DOID:0060119
C0037579	DOID:0060123
UMLS:C0037579	DOID:0060123
C0018852	DOID:0060125
UMLS:C0018852	DOID:0060125
C0018854	DOID:0060125
UMLS:C0018854	DOID:0060125
C0242310	DOID:0060125
UMLS:C0242310	DOID:0060125
C0003635	DOID:0060135
UMLS:C0003635	DOID:0060135
C2930796	DOID:0060155
UMLS:C2930796	DOID:0060155
C0263479	DOID:0060157
UMLS:C0263479	DOID:0060157
C0700595	DOID:0060160
UMLS:C0700595	DOID:0060160
C1839259	DOID:0060161
UMLS:C1839259	DOID:0060161
C0751781	DOID:0060162
UMLS:C0751781	DOID:0060162
C1832916	DOID:0060173
UMLS:C1832916	DOID:0060173
C0477373	DOID:0060178
UMLS:C0477373	DOID:0060178
C0009319	DOID:0060180
UMLS:C0009319	DOID:0060180
C0162529	DOID:0060181
UMLS:C0162529	DOID:0060181
C0400821	DOID:0060182
UMLS:C0400821	DOID:0060182
C0238067	DOID:0060183
UMLS:C0238067	DOID:0060183
C0400822	DOID:0060184
UMLS:C0400822	DOID:0060184
C0014358	DOID:0060185
UMLS:C0014358	DOID:0060185
C0085819	DOID:0060185
UMLS:C0085819	DOID:0060185
C1257843	DOID:0060185
UMLS:C1257843	DOID:0060185
C1257844	DOID:0060185
UMLS:C1257844	DOID:0060185
C1257845	DOID:0060185
UMLS:C1257845	DOID:0060185
C0029512	DOID:0060186
UMLS:C0029512	DOID:0060186
C0029512	DOID:0060187
UMLS:C0029512	DOID:0060187
C0020877	DOID:0060189
UMLS:C0020877	DOID:0060189
C0156147	DOID:0060192
UMLS:C0156147	DOID:0060192
C0007795	DOID:0060215
UMLS:C0007795	DOID:0060215
C0271270	DOID:0060216
UMLS:C0271270	DOID:0060216
C1168173	DOID:0060217
UMLS:C1168173	DOID:0060217
C0206138	DOID:0060218
UMLS:C0206138	DOID:0060218
C1527226	DOID:0060218
UMLS:C1527226	DOID:0060218
C0004238	DOID:0060224
UMLS:C0004238	DOID:0060224
C1860118	DOID:0060226
UMLS:C1860118	DOID:0060226
C0265268	DOID:0060227
UMLS:C0265268	DOID:0060227
C0393590	DOID:0060230
UMLS:C0393590	DOID:0060230
C4273131	DOID:0060232
UMLS:C4273131	DOID:0060232
C1275078	DOID:0060234
UMLS:C1275078	DOID:0060234
C0342790	DOID:0060235
UMLS:C0342790	DOID:0060235
C0220988	DOID:0060236
UMLS:C0220988	DOID:0060236
C1838625	DOID:0060237
UMLS:C1838625	DOID:0060237
C1832390	DOID:0060238
UMLS:C1832390	DOID:0060238
C0175697	DOID:0060239
UMLS:C0175697	DOID:0060239
C1848862	DOID:0060241
UMLS:C1848862	DOID:0060241
C3280146	DOID:0060241
UMLS:C3280146	DOID:0060241
C2699746	DOID:0060242
UMLS:C2699746	DOID:0060242
C0038131	DOID:0060243
UMLS:C0038131	DOID:0060243
C0038506	DOID:0060243
UMLS:C0038506	DOID:0060243
C0454542	DOID:0060243
UMLS:C0454542	DOID:0060243
C0751527	DOID:0060243
UMLS:C0751527	DOID:0060243
C0751528	DOID:0060243
UMLS:C0751528	DOID:0060243
C0751529	DOID:0060243
UMLS:C0751529	DOID:0060243
C3489627	DOID:0060243
UMLS:C3489627	DOID:0060243
C0795953	DOID:0060246
UMLS:C0795953	DOID:0060246
C1846431	DOID:0060247
UMLS:C1846431	DOID:0060247
C0796154	DOID:0060248
UMLS:C0796154	DOID:0060248
C0036439	DOID:0060249
UMLS:C0036439	DOID:0060249
C0265301	DOID:0060251
UMLS:C0265301	DOID:0060251
C1853235	DOID:0060252
UMLS:C1853235	DOID:0060252
C0265205	DOID:0060254
UMLS:C0265205	DOID:0060254
C1853698	DOID:0060255
UMLS:C1853698	DOID:0060255
C0406811	DOID:0060256
UMLS:C0406811	DOID:0060256
C3714534	DOID:0060256
UMLS:C3714534	DOID:0060256
C0406775	DOID:0060257
UMLS:C0406775	DOID:0060257
C0406811	DOID:0060258
UMLS:C0406811	DOID:0060258
C0005745	DOID:0060260
UMLS:C0005745	DOID:0060260
C0266573	DOID:0060261
UMLS:C0266573	DOID:0060261
C0016977	DOID:0060262
UMLS:C0016977	DOID:0060262
C0302892	DOID:0060263
UMLS:C0302892	DOID:0060263
C1867983	DOID:0060263
UMLS:C1867983	DOID:0060263
C3698507	DOID:0060263
UMLS:C3698507	DOID:0060263
C0266468	DOID:0060264
UMLS:C0266468	DOID:0060264
C1848526	DOID:0060267
UMLS:C1848526	DOID:0060267
C2676466	DOID:0060268
UMLS:C2676466	DOID:0060268
C2676465	DOID:0060269
UMLS:C2676465	DOID:0060269
C1842687	DOID:0060272
UMLS:C1842687	DOID:0060272
C1856974	DOID:0060273
UMLS:C1856974	DOID:0060273
C1857762	DOID:0060274
UMLS:C1857762	DOID:0060274
C1969084	DOID:0060275
UMLS:C1969084	DOID:0060275
C4304832	DOID:0060280
UMLS:C4304832	DOID:0060280
C5816750	DOID:0060280
UMLS:C5816750	DOID:0060280
C0266568	DOID:0060282
UMLS:C0266568	DOID:0060282
C1849193	DOID:0060283
UMLS:C1849193	DOID:0060283
C0019050	DOID:0060284
UMLS:C0019050	DOID:0060284
C0024790	DOID:0060284
UMLS:C0024790	DOID:0060284
C0086774	DOID:0060284
UMLS:C0086774	DOID:0060284
C1868598	DOID:0060285
UMLS:C1868598	DOID:0060285
C4510897	DOID:0060288
UMLS:C4510897	DOID:0060288
C0796094	DOID:0060289
UMLS:C0796094	DOID:0060289
C1863557	DOID:0060290
UMLS:C1863557	DOID:0060290
C0812437	DOID:0060291
UMLS:C0812437	DOID:0060291
C1832409	DOID:0060294
UMLS:C1832409	DOID:0060294
C0267662	DOID:0060296
UMLS:C0267662	DOID:0060296
C2930995	DOID:0060304
UMLS:C2930995	DOID:0060304
C0344530	DOID:0060305
UMLS:C0344530	DOID:0060305
C1868684	DOID:0060306
UMLS:C1868684	DOID:0060306
C0149825	DOID:0060311
UMLS:C0149825	DOID:0060311
C0221237	DOID:0060312
UMLS:C0221237	DOID:0060312
C0392109	DOID:0060313
UMLS:C0392109	DOID:0060313
C0206186	DOID:0060315
UMLS:C0206186	DOID:0060315
C0026363	DOID:0060316
UMLS:C0026363	DOID:0060316
C0029294	DOID:0060316
UMLS:C0029294	DOID:0060316
C1510460	DOID:0060316
UMLS:C1510460	DOID:0060316
C0024110	DOID:0060317
UMLS:C0024110	DOID:0060317
C0023487	DOID:0060318
UMLS:C0023487	DOID:0060318
C0018790	DOID:0060319
UMLS:C0018790	DOID:0060319
C0600228	DOID:0060319
UMLS:C0600228	DOID:0060319
C0019294	DOID:0060320
UMLS:C0019294	DOID:0060320
C0019295	DOID:0060320
UMLS:C0019295	DOID:0060320
C0019296	DOID:0060320
UMLS:C0019296	DOID:0060320
C0795690	DOID:0060321
UMLS:C0795690	DOID:0060321
C1306503	DOID:0060321
UMLS:C1306503	DOID:0060321
C0024904	DOID:0060322
UMLS:C0024904	DOID:0060322
C0153996	DOID:0060325
UMLS:C0153996	DOID:0060325
C0025312	DOID:0060326
UMLS:C0025312	DOID:0060326
C0086664	DOID:0060326
UMLS:C0086664	DOID:0060326
C0751316	DOID:0060326
UMLS:C0751316	DOID:0060326
C0795690	DOID:0060327
UMLS:C0795690	DOID:0060327
C1306503	DOID:0060327
UMLS:C1306503	DOID:0060327
C0032987	DOID:0060329
UMLS:C0032987	DOID:0060329
C4273660	DOID:0060331
UMLS:C4273660	DOID:0060331
C1836033	DOID:0060337
UMLS:C1836033	DOID:0060337
C0029805	DOID:0060344
UMLS:C0029805	DOID:0060344
C0085434	DOID:0060345
UMLS:C0085434	DOID:0060345
C1850625	DOID:0060346
UMLS:C1850625	DOID:0060346
C3495490	DOID:0060347
UMLS:C3495490	DOID:0060347
C1855840	DOID:0060348
UMLS:C1855840	DOID:0060348
C1835265	DOID:0060349
UMLS:C1835265	DOID:0060349
C0268120	DOID:0060350
UMLS:C0268120	DOID:0060350
C3665382	DOID:0060350
UMLS:C3665382	DOID:0060350
C0795833	DOID:0060352
UMLS:C0795833	DOID:0060352
C1861451	DOID:0060354
UMLS:C1861451	DOID:0060354
C1855772	DOID:0060356
UMLS:C1855772	DOID:0060356
C0795956	DOID:0060357
UMLS:C0795956	DOID:0060357
C0268596	DOID:0060358
UMLS:C0268596	DOID:0060358
C1856401	DOID:0060358
UMLS:C1856401	DOID:0060358
C1856403	DOID:0060358
UMLS:C1856403	DOID:0060358
C1856405	DOID:0060358
